gym_id,alias,name,latitude,longitude,address,city,state,zip,country
30c6f1f718944417ae59c01a2ea22cf3.16,,20th Year of The Colt (Logan High School),37.592247,-122.026135,1700-1800 H St, Union City,CA,94587, USA
1c39a0697969473c95ffdbbd82393902.16,,8.5 Mile Trail Marker,37.562704,-122.084359,33333 Alameda Creek Trail, Union City,CA,94587, USA
bd5a6977f8c248c488e0318b534e6a14.11,,"A.F ""Andy"" Anderson Memorial Plaza",37.533,-121.959813,40991 Fremont Blvd, Fremont,CA,94538, USA
e511623b4e4c49a5a3c4a98c3ffe9c11.16,,Abstract Painting 2,37.567397,-122.052386,4910 Paseo Padre Pkwy, Fremont,CA,94555, USA
4588993b2e3e45ba8d7baf03453dd6df.16,,Accinelli Park,37.577086,-122.061419,33108 Navarro Dr, Union City,CA,94587, USA
a6d6138b4719455498df0dc2c702b60c.16,,ACL Administration Sign,37.549859,-121.972106,2762-2998 Stevenson Blvd, Fremont,CA,94538, USA
81b716e1e91145fa93cc2662d9947eca.16,Toys R US,Acrobats #1,37.504797,-121.967138,43732 Christy St, Fremont,CA,94538, USA
88cd91e4fd0745d1999c2bca9c131547.16,Panda Express,Acrobats #7,37.503626,-121.975677,4342 Auto Mall Pkwy, Fremont,CA,94538, USA
485e226fb9ce4d16bd3222b30432d689.16,,Al Masjid Al Jamea,37.580961,-122.054824,4084-4106 Lowry Rd, Fremont,CA,94555, USA
dc335758727f424a91bea324c2bb06d6.16,,Alameda Creek Ponding Area,37.55182,-122.085295,Bayview Trail, Fremont,CA,94555, USA
1edc9f97196b4f1a8f754adc3996f807.16,,Alameda Creek regional Trail,37.578296,-122.026085,Alameda Creek Trail, Union City,CA,, USA
1b5262c3ce874e25bf1f508514c66f85.16,,Alameda Creek Regional Trail Niles Staging Area,37.579127,-121.966399,600-722 Old Canyon Rd, Fremont,CA,94536, USA
45dcebbc05dd480d8b225566d6ec8a9a.16,,Alameda Creek Regional Trailhead,37.566184,-122.070277,34992 Eastin Ct, Union City,CA,94587, USA
780395226f544946b5752cf6dac34b24.16,,Alta Playground,37.539787,-122.007558,38334-38350 Alta Dr, Fremont,CA,94536, USA
71df1f7ddc6f443aacc670c1667f494b.16,,Ancient Historic Mural,37.604357,-122.018573,33503 Mission Blvd, Union City,CA,94587, USA
